Account Number,Name of Investor (Account Name),Individuals Associated (Beneficial Owner),Date of Contact,Time of Contact,"Date ""Over the Wall""","Time ""Over the Wall"""
AC9900054,,,4/29/2024,16:17: 15:19,,
AC9900033,,,4/29/2024,16:17: 15:19,,
AC9900067,,,4/29/2024,16:17: 15:19,,
AC9900021,,,4/29/2024,16:17: 15:19,,
AC9900095,,,4/29/2024,16:17: 15:19,,
AC9900023,,,4/29/2024,16:17: 15:19,,
AC9900052,,,4/29/2024,16:17: 15:19,,
AC9900013,,,4/29/2024,16:17: 15:19,,
AC9900035,,,4/29/2024,16:17: 15:19,,
AC9900072,,,4/29/2024,16:17: 15:19,,
AC9900040,,,4/29/2024,16:17: 15:19,,
AC9900024,,,4/29/2024,16:17: 15:19,,
AC9900026,,,4/29/2024,16:17: 15:19,,
AC9900083,,,4/29/2024,16:17: 15:19,,
AC9900025,,,4/29/2024,16:17: 15:19,,
AC9900062,,,4/29/2024,16:17: 15:19,,
AC9900047,,,4/29/2024,16:17: 15:19,,
AC9900078,,,4/29/2024,16:17: 15:19,,
AC9900027,,,4/29/2024,16:17: 15:19,,
AC9900030,,,4/29/2024,16:17: 15:19,,
AC9900045,,,4/29/2024,16:17: 15:19,,
AC9900063,,,4/29/2024,16:17: 15:19,,
AC9900087,,,4/29/2024,16:17: 15:19,,
AC9900068,,,4/29/2024,16:17: 15:19,,
AC9900093,,,4/29/2024,16:17: 15:19,,
AC9900090,,,4/29/2024,16:17: 15:19,,
AC9900084,,,4/29/2024,16:17: 15:19,,
AC9900065,,,4/29/2024,16:17: 15:19,,
AC9900020,,,4/29/2024,16:17: 15:19,,
AC9900032,,,4/29/2024,16:17: 15:19,,
AC9900048,,,4/29/2024,16:17: 15:19,,
AC9900041,,,4/29/2024,16:17: 15:19,,
AC9900022,,,4/29/2024,16:17: 15:19,,
AC9900028,,,4/29/2024,16:17: 15:19,,
AC9900092,,,4/29/2024,16:17: 15:19,,
AC9900034,,,4/29/2024,16:17: 15:19,,
AC9900085,,,4/29/2024,16:17: 15:19,,
AC9900088,,,4/29/2024,16:17: 15:19,,
AC9900038,,,4/29/2024,16:17: 15:19,,
AC9900091,,,4/29/2024,16:17: 15:19,,
AC9900060,,,4/29/2024,16:17: 15:19,,
AC9900094,,,4/29/2024,16:17: 15:19,,
AC9900076,,,4/29/2024,16:17: 15:19,,
AC9900049,,,4/29/2024,16:17: 15:19,,
AC9900077,,,4/29/2024,16:17: 15:19,,
AC9900014,,,4/29/2024,16:17: 15:19,,
AC9900075,,,4/29/2024,16:17: 15:19,,
AC9900029,,,4/29/2024,16:17: 15:19,,
AC9900130,,,4/29/2024,16:17: 15:19,,
AC9900131,,,4/29/2024,16:17: 15:19,,
AC9900132,,,4/29/2024,16:17: 15:19,,
AC9900134,,,4/29/2024,16:17: 15:19,,
AC9900012,,,4/29/2024,16:17: 15:19,,
AC9900136,,,4/29/2024,16:17: 15:19,,
AC9900137,,,4/29/2024,16:17: 15:19,,
AC9900138,,,4/29/2024,16:17: 15:19,,
AC9900139,,,4/29/2024,16:17: 15:19,,
AC9900140,,,4/29/2024,16:17: 15:19,,
AC9900145,,,4/29/2024,16:17: 15:19,,
AC9900148,,,4/29/2024,16:17: 15:19,,
AC9900149,,,4/29/2024,16:17: 15:19,,
AC9900150,,,4/29/2024,16:17: 15:19,,
AC9900128,,,4/29/2024,16:17: 15:19,,
AC9900129,,,4/29/2024,16:17: 15:19,,
AC9900152,,,4/29/2024,16:17: 15:19,,
AC9900153,,,4/29/2024,16:17: 15:19,,
AC9900154,,,4/29/2024,16:17: 15:19,,
AC9900155,,,4/29/2024,16:17: 15:19,,
